Point No.	Frequency Set (GHz)	THz Photocurrent (nA)	Frequency Act (GHz)	Amplitude (via StrMod)	Phase (via StrMod)	Frequency Fit	Timestamp (s)
1	100.000	-0.134	99.999	9.124	1.989	0.681	1785285494.402
2	100.000	-0.392	99.996	9.005	2.339	0.681	1785285494.586
3	100.000	0.098	100.003	8.577	2.810	0.697	1785285494.780
4	100.000	-0.449	99.999	8.649	3.209	0.664	1785285494.988
5	100.000	-0.115	100.001	8.653	3.593	0.664	1785285495.167
6	100.000	0.221	99.999	8.346	4.035	0.664	1785285495.378
7	100.000	0.218	100.000	8.026	4.550	0.664	1785285495.555
8	100.000	0.257	99.999	8.204	5.048	0.664	1785285495.744
9	100.000	-0.024	99.995	8.585	5.480	0.664	1785285495.936
10	100.000	-0.147	99.997	9.048	5.906	0.664	1785285496.115
11	100.000	-0.198	99.999	9.398	0.028	0.664	1785285496.304
12	100.000	-0.043	100.003	9.902	0.403	0.672	1785285496.491
13	100.000	0.285	100.001	9.823	0.743	0.671	1785285496.671
14	100.000	-0.075	100.003	9.813	1.070	0.681	1785285496.881
15	100.000	0.339	100.001	9.621	1.447	0.686	1785285497.064
16	100.000	-0.009	100.000	9.449	1.857	0.683	1785285497.273
17	100.000	-0.180	100.001	9.152	2.256	0.683	1785285497.456
18	100.000	-0.111	100.000	8.895	2.666	0.686	1785285497.647
19	100.000	-0.015	100.000	8.688	3.056	0.691	1785285497.839
20	100.000	-0.261	100.002	8.539	3.466	0.664	1785285498.008
21	100.000	0.085	100.000	8.312	3.849	0.664	1785285498.180
22	100.000	0.158	99.997	8.122	4.335	0.664	1785285498.372
23	100.000	0.265	99.997	8.338	4.785	0.664	1785285498.579
24	100.000	0.037	100.000	8.299	5.261	0.664	1785285498.766
25	100.000	0.082	100.001	8.907	5.720	0.664	1785285498.944
26	100.000	-0.001	100.002	9.105	6.114	0.664	1785285499.114
27	100.000	-0.197	100.002	9.446	0.140	0.676	1785285499.335
28	100.000	0.163	100.001	9.850	0.540	0.676	1785285499.532
29	100.000	-0.231	100.000	9.743	0.884	0.686	1785285499.706
30	100.000	0.257	99.999	9.660	1.268	0.685	1785285499.886
31	100.000	-0.288	100.002	9.542	1.649	0.688	1785285500.083
32	100.000	-0.083	99.997	9.036	1.993	0.691	1785285500.261
33	100.000	-0.037	99.998	8.940	2.427	0.684	1785285500.451
34	100.000	-0.080	100.000	8.531	2.872	0.680	1785285500.633
35	100.000	-0.029	99.996	8.438	3.283	0.664	1785285500.826
36	100.000	0.243	100.000	8.243	3.640	0.664	1785285500.988
37	100.000	-0.081	100.003	8.025	4.016	0.664	1785285501.147
38	100.000	0.338	100.006	7.930	4.452	0.664	1785285501.335
39	100.000	-0.220	99.997	8.025	4.903	0.664	1785285501.539
40	100.000	-0.044	100.000	8.417	5.413	0.664	1785285501.700
41	100.000	0.061	100.003	8.941	5.797	0.664	1785285501.899
42	100.000	0.322	100.001	9.376	6.164	0.664	1785285502.073
43	100.000	-0.204	100.003	9.618	0.252	0.673	1785285502.282
44	100.000	-0.543	100.001	9.838	0.641	0.673	1785285502.456
45	100.000	-0.088	100.001	9.769	0.943	0.685	1785285502.672
46	100.000	-0.182	99.999	9.842	1.314	0.683	1785285502.874
47	100.000	-0.060	100.002	9.435	1.758	0.683	1785285503.050
48	100.000	0.248	99.998	9.227	2.119	0.683	1785285503.260
49	100.000	-0.122	100.001	8.600	2.631	0.687	1785285503.485
50	100.000	-0.285	99.998	8.479	3.090	0.680	1785285503.652
51	100.000	-0.016	100.002	8.396	3.482	0.664	1785285503.844
52	100.000	0.284	100.002	8.064	3.921	0.664	1785285504.007
53	100.000	-0.323	100.001	8.116	4.376	0.664	1785285504.216
54	100.000	-0.105	100.000	8.093	4.846	0.664	1785285504.418
55	100.000	0.317	100.000	8.243	5.331	0.664	1785285504.586
56	100.000	-0.065	99.999	8.684	5.690	0.664	1785285504.790
57	100.000	0.111	100.001	9.198	6.160	0.664	1785285504.970
58	100.000	0.092	100.002	9.680	0.257	0.664	1785285505.160
59	100.000	-0.144	99.998	9.922	0.609	0.685	1785285505.353
60	100.000	0.517	100.000	9.876	0.959	0.685	1785285505.542
61	100.000	-0.184	100.001	9.930	1.267	0.683	1785285505.707
62	100.000	0.321	100.001	9.857	1.596	0.684	1785285505.890
63	100.000	-0.099	99.998	9.467	1.972	0.689	1785285506.080
64	100.000	0.072	99.997	8.980	2.372	0.681	1785285506.287
65	100.000	0.166	100.000	8.559	2.821	0.687	1785285506.482
66	100.000	-0.012	100.000	8.517	3.197	0.672	1785285506.664
67	100.000	0.256	99.997	8.268	3.656	0.664	1785285506.840
68	100.000	-0.066	99.996	7.814	4.080	0.664	1785285507.042
69	100.000	-0.102	100.002	7.837	4.533	0.664	1785285507.229
70	100.000	0.028	99.998	8.029	5.081	0.664	1785285507.446
71	100.000	-0.184	100.000	8.459	5.578	0.664	1785285507.668
72	100.000	0.149	100.005	8.968	6.090	0.664	1785285507.881
73	100.000	-0.197	99.998	9.558	0.186	0.682	1785285508.078
74	100.000	0.076	100.000	9.740	0.566	0.679	1785285508.267
75	100.000	0.154	100.004	9.850	0.914	0.684	1785285508.455
76	100.000	-0.076	99.997	9.754	1.256	0.681	1785285508.643
77	100.000	-0.151	99.998	9.580	1.619	0.685	1785285508.831
78	100.000	0.143	100.000	9.448	2.004	0.682	1785285509.016
79	100.000	0.075	100.000	9.029	2.390	0.685	1785285509.208
80	100.000	0.214	99.998	8.465	2.826	0.697	1785285509.395
81	100.000	0.261	99.999	8.373	3.278	0.664	1785285509.564
82	100.000	-0.027	99.998	8.270	3.638	0.664	1785285509.772
83	100.000	-0.027	99.998	7.828	4.110	0.664	1785285509.951
84	100.000	-0.263	100.004	7.620	4.562	0.664	1785285510.152
85	100.000	0.200	99.999	7.935	5.055	0.664	1785285510.329
86	100.000	0.212	99.998	8.316	5.505	0.664	1785285510.523
87	100.000	-0.231	100.001	8.650	5.920	0.664	1785285510.707
88	100.000	0.454	100.002	9.043	0.025	0.664	1785285510.887
89	100.000	0.137	100.001	9.449	0.379	0.675	1785285511.094
90	100.000	-0.126	99.998	9.778	0.738	0.680	1785285511.260
91	100.000	-0.168	99.998	9.887	1.078	0.680	1785285511.440
92	100.000	0.370	99.997	9.838	1.413	0.682	1785285511.629
93	100.000	0.251	100.001	9.614	1.771	0.685	1785285511.813
94	100.000	-0.009	100.000	9.193	2.164	0.681	1785285512.002
95	100.000	-0.017	100.000	8.844	2.592	0.694	1785285512.202
96	100.000	0.069	100.004	8.412	3.023	0.693	1785285512.398
97	100.000	-0.432	99.999	8.267	3.451	0.664	1785285512.583
98	100.000	0.032	100.002	7.832	3.846	0.664	1785285512.762
99	100.000	-0.013	99.999	7.852	4.330	0.664	1785285512.958
100	100.000	-0.175	99.999	7.712	4.803	0.664	1785285513.149
101	100.000	-0.467	99.997	7.892	5.270	0.664	1785285513.330
102	100.000	0.041	99.999	8.486	5.661	0.664	1785285513.509
103	100.000	-0.269	100.000	8.898	6.113	0.664	1785285513.715
104	100.000	0.229	100.004	9.271	0.192	0.668	1785285513.903
105	100.000	-0.166	100.000	9.564	0.533	0.680	1785285514.082
106	100.000	0.238	100.000	9.679	0.870	0.681	1785285514.264
107	100.000	-0.287	99.993	9.513	1.249	0.685	1785285514.463
108	100.000	-0.242	100.002	9.740	1.639	0.683	1785285514.661
109	100.000	0.240	100.003	9.362	2.042	0.686	1785285514.865
110	100.000	0.257	100.002	9.097	2.391	0.686	1785285515.035
111	100.000	0.246	99.998	8.534	2.846	0.689	1785285515.226
112	100.000	-0.199	99.998	8.250	3.236	0.664	1785285515.412
113	100.000	0.001	100.000	8.109	3.680	0.664	1785285515.599
114	100.000	0.194	99.999	8.044	4.084	0.664	1785285515.775
115	100.000	-0.305	99.997	7.814	4.522	0.664	1785285515.958
116	100.000	0.045	99.997	7.746	4.917	0.664	1785285516.099
117	100.000	-0.282	99.999	8.157	5.396	0.664	1785285516.304
118	100.000	-0.164	99.998	8.566	5.788	0.664	1785285516.497
119	100.000	-0.071	100.004	8.981	6.204	0.664	1785285516.649
120	100.000	-0.115	99.997	9.084	0.203	0.674	1785285516.843
121	100.000	0.005	99.999	9.482	0.609	0.679	1785285517.024
122	100.000	0.019	100.002	9.613	0.962	0.680	1785285517.228
123	100.000	0.052	99.997	9.425	1.319	0.682	1785285517.400
124	100.000	0.182	100.000	9.731	1.700	0.682	1785285517.612
125	100.000	0.046	99.997	9.242	2.090	0.686	1785285517.820
126	100.000	0.046	100.000	9.089	2.512	0.678	1785285517.997
127	100.000	-0.023	100.006	8.739	2.923	0.678	1785285518.178
128	100.000	0.052	100.005	8.742	3.271	0.666	1785285518.367
129	100.000	0.038	99.998	8.157	3.756	0.664	1785285518.546
130	100.000	-0.033	100.001	7.812	4.200	0.664	1785285518.722
131	100.000	0.012	100.001	7.795	4.618	0.664	1785285518.915
132	100.000	-0.085	100.001	7.899	5.056	0.664	1785285519.099
133	100.000	-0.005	100.002	8.154	5.506	0.664	1785285519.283
134	100.000	0.025	99.996	8.742	5.920	0.664	1785285519.501
135	100.000	-0.033	99.999	8.965	0.035	0.669	1785285519.681
136	100.000	0.031	100.000	9.401	0.436	0.677	1785285519.877
137	100.000	0.018	99.999	9.648	0.820	0.688	1785285520.084
138	100.000	-0.122	100.002	9.907	1.190	0.682	1785285520.251
139	100.000	0.124	100.005	9.753	1.516	0.685	1785285520.443
140	100.000	0.099	100.000	9.336	1.957	0.688	1785285520.657
141	100.000	0.050	100.002	9.104	2.328	0.683	1785285520.824
142	100.000	0.256	99.995	8.836	2.714	0.675	1785285521.005
143	100.000	-0.209	99.995	8.559	3.116	0.664	1785285521.182
144	100.000	0.159	99.996	8.246	3.454	0.664	1785285521.365
145	100.000	-0.014	99.996	7.815	3.889	0.664	1785285521.547
146	100.000	-0.220	99.999	7.900	4.334	0.664	1785285521.742
147	100.000	-0.102	100.004	7.740	4.852	0.664	1785285521.944
148	100.000	-0.065	100.002	8.068	5.307	0.664	1785285522.141
149	100.000	-0.188	99.998	8.322	5.742	0.664	1785285522.331
150	100.000	-0.117	100.005	8.968	6.168	0.664	1785285522.518
151	100.000	-0.217	99.998	9.313	0.274	0.674	1785285522.749
152	100.000	-0.162	99.996	9.494	0.656	0.682	1785285522.929
153	100.000	-0.124	99.997	9.511	1.012	0.685	1785285523.112
154	100.000	-0.098	99.998	9.557	1.417	0.683	1785285523.313
155	100.000	0.179	100.001	9.269	1.789	0.687	1785285523.495
156	100.000	0.004	100.001	9.141	2.173	0.687	1785285523.704
157	100.000	-0.312	99.998	8.707	2.591	0.682	1785285523.895
158	100.000	-0.087	100.002	8.389	3.122	0.678	1785285524.149
159	100.000	-0.237	99.999	8.045	3.708	0.664	1785285524.393
160	100.000	-0.105	99.999	7.766	4.267	0.664	1785285524.636
161	100.000	-0.289	99.999	7.515	4.804	0.664	1785285524.818
162	100.000	-0.039	99.999	7.961	5.294	0.664	1785285525.011
163	100.000	0.047	100.002	8.472	5.657	0.664	1785285525.188
164	100.000	-0.319	100.000	8.935	6.031	0.664	1785285525.371
165	100.000	0.093	99.999	9.160	0.108	0.677	1785285525.549
166	100.000	0.257	99.999	9.416	0.449	0.681	1785285525.752
167	100.000	0.174	100.002	9.813	0.812	0.681	1785285525.913
168	100.000	0.255	100.003	9.658	1.141	0.685	1785285526.108
169	100.000	-0.035	99.996	9.569	1.536	0.684	1785285526.326
170	100.000	-0.079	100.001	9.501	1.907	0.683	1785285526.499
171	100.000	0.343	100.001	9.098	2.315	0.686	1785285526.703
172	100.000	-0.385	100.002	8.668	2.739	0.696	1785285526.881
173	100.000	0.346	100.001	8.466	3.141	0.664	1785285527.065
174	100.000	0.348	100.001	8.236	3.544	0.664	1785285527.257
175	100.000	-0.488	99.999	7.626	3.977	0.664	1785285527.435
176	100.000	0.146	99.999	7.610	4.490	0.664	1785285527.640
177	100.000	-0.019	99.999	7.870	4.959	0.664	1785285527.812
178	100.000	0.107	100.000	8.140	5.357	0.664	1785285527.979
179	100.000	0.130	99.998	8.457	5.746	0.664	1785285528.181
180	100.000	0.213	100.001	8.921	6.230	0.664	1785285528.434
181	100.000	-0.542	100.000	9.386	0.362	0.673	1785285528.623
182	100.000	0.077	100.003	9.639	0.721	0.681	1785285528.822
183	100.000	0.231	99.999	9.942	1.112	0.680	1785285528.992
184	100.000	0.067	100.003	9.740	1.422	0.685	1785285529.194
185	100.000	0.151	99.999	9.251	1.816	0.688	1785285529.384
186	100.000	-0.187	100.000	9.371	2.200	0.678	1785285529.572
187	100.000	-0.475	100.006	8.900	2.588	0.684	1785285529.753
188	100.000	0.083	100.000	8.576	2.986	0.664	1785285529.937
189	100.000	0.118	99.997	8.271	3.459	0.664	1785285530.127
190	100.000	-0.154	99.998	7.966	3.876	0.664	1785285530.317
191	100.000	-0.308	99.994	7.455	4.304	0.664	1785285530.509
192	100.000	-0.084	99.997	7.589	4.788	0.664	1785285530.681
193	100.000	0.045	100.002	7.814	5.265	0.664	1785285530.885
194	100.000	0.159	100.002	8.356	5.666	0.664	1785285531.084
195	100.000	-0.162	100.000	8.947	6.195	0.664	1785285531.310
196	100.000	-0.194	100.003	9.300	0.265	0.682	1785285531.492
197	100.000	-0.176	100.000	9.638	0.642	0.683	1785285531.682
198	100.000	-0.294	99.994	9.755	0.976	0.687	1785285531.873
199	100.000	-0.073	99.999	9.865	1.326	0.680	1785285532.071
200	100.000	-0.082	99.997	9.751	1.723	0.683	1785285532.258
201	100.000	-0.131	99.998	9.135	2.113	0.693	1785285532.447
202	100.000	-0.109	100.003	9.149	2.483	0.675	1785285532.634
203	100.000	-0.024	100.000	8.736	2.893	0.686	1785285532.818
204	100.000	-0.157	100.001	8.344	3.308	0.664	1785285532.995
205	100.000	0.314	99.998	7.853	3.704	0.664	1785285533.199
206	100.000	-0.293	100.000	7.720	4.171	0.664	1785285533.369
207	100.000	0.243	100.003	7.413	4.642	0.664	1785285533.567
208	100.000	-0.082	99.999	7.660	5.188	0.664	1785285533.823
209	100.000	-0.230	100.003	8.205	5.701	0.664	1785285534.011
210	100.000	0.234	99.996	8.660	6.128	0.664	1785285534.202
211	100.000	-0.106	100.001	9.277	0.250	0.673	1785285534.436
212	100.000	0.085	100.001	9.606	0.615	0.685	1785285534.614
213	100.000	0.243	100.004	9.797	0.982	0.685	1785285534.828
214	100.000	0.529	99.996	9.692	1.377	0.683	1785285535.017
215	100.000	0.011	100.002	9.567	1.781	0.684	1785285535.256
216	100.000	0.097	99.999	9.200	2.231	0.685	1785285535.468
217	100.000	0.075	99.996	8.486	2.704	0.700	1785285535.662
218	100.000	0.012	100.001	8.203	3.164	0.664	1785285535.870
219	100.000	0.102	100.004	7.910	3.589	0.664	1785285536.069
220	100.000	-0.075	100.003	7.550	4.075	0.664	1785285536.262
221	100.000	-0.015	99.997	7.725	4.535	0.664	1785285536.448
222	100.000	-0.400	100.001	7.587	5.006	0.664	1785285536.635
223	100.000	0.197	100.000	8.111	5.429	0.664	1785285536.813
224	100.000	-0.043	100.005	8.419	5.902	0.664	1785285537.013
225	100.000	0.126	100.001	9.062	0.018	0.664	1785285537.239
226	100.000	-0.130	99.995	9.563	0.426	0.673	1785285537.445
227	100.000	-0.033	99.999	9.746	0.771	0.683	1785285537.627
228	100.000	-0.429	100.001	9.996	1.133	0.686	1785285537.804
229	100.000	-0.471	100.000	9.734	1.515	0.685	1785285538.030
230	100.000	0.223	100.000	9.415	1.954	0.683	1785285538.249
231	100.000	0.242	99.997	9.047	2.383	0.686	1785285538.457
232	100.000	-0.104	100.002	8.472	2.891	0.682	1785285538.718
233	100.000	-0.357	99.998	7.930	3.464	0.664	1785285538.944
234	100.000	0.112	100.001	7.305	3.863	0.664	1785285539.119
235	100.000	-0.070	99.997	7.372	4.377	0.664	1785285539.319
236	100.000	-0.177	100.004	7.508	4.921	0.664	1785285539.504
237	100.000	-0.048	100.000	7.861	5.353	0.664	1785285539.701
238	100.000	0.205	100.004	8.387	5.807	0.664	1785285539.885
239	100.000	-0.086	99.999	8.938	6.165	0.664	1785285540.053
240	100.000	0.576	100.000	9.195	0.186	0.679	1785285540.266
241	100.000	-0.427	99.998	9.706	0.580	0.680	1785285540.461
242	100.000	0.156	100.000	9.744	0.905	0.673	1785285540.630
243	100.000	-0.091	99.998	9.691	1.279	0.686	1785285540.802
244	100.000	-0.019	100.002	9.453	1.602	0.687	1785285541.016
245	100.000	-0.123	99.999	9.388	2.004	0.683	1785285541.190
246	100.000	0.036	100.001	8.931	2.397	0.695	1785285541.383
247	100.000	-0.256	99.999	8.696	2.804	0.680	1785285541.548
248	100.000	-0.068	99.999	8.392	3.218	0.675	1785285541.735
249	100.000	0.229	99.998	8.111	3.562	0.664	1785285541.915
250	100.000	0.049	99.999	7.624	4.063	0.664	1785285542.104
251	100.000	0.158	100.001	7.390	4.527	0.664	1785285542.327
252	100.000	-0.092	99.995	7.739	5.029	0.664	1785285542.513
253	100.000	-0.277	99.999	8.162	5.554	0.664	1785285542.736
254	100.000	0.009	100.002	8.869	6.003	0.664	1785285542.935
255	100.000	0.052	99.998	9.479	0.057	0.664	1785285543.109
256	100.000	0.330	100.002	9.640	0.434	0.683	1785285543.299
257	100.000	-0.357	99.998	9.984	0.749	0.676	1785285543.486
258	100.000	0.056	99.993	10.050	1.137	0.683	1785285543.687
259	100.000	-0.115	100.001	9.786	1.482	0.688	1785285543.871
260	100.000	0.378	100.003	9.734	1.842	0.683	1785285544.058
261	100.000	0.001	100.004	9.203	2.207	0.685	1785285544.262
262	100.000	-0.042	99.998	8.718	2.666	0.697	1785285544.438
263	100.000	-0.039	100.001	8.258	3.145	0.665	1785285544.643
264	100.000	0.025	99.998	8.193	3.506	0.664	1785285544.803
265	100.000	-0.003	99.999	7.865	3.966	0.664	1785285545.029
266	100.000	0.081	99.999	7.680	4.454	0.664	1785285545.210
267	100.000	-0.138	100.000	7.698	4.956	0.664	1785285545.452
268	100.000	-0.052	100.001	8.168	5.475	0.664	1785285545.642
269	100.000	-0.242	99.997	8.625	5.898	0.664	1785285545.832
270	100.000	0.162	99.996	9.078	0.008	0.666	1785285546.023
271	100.000	-0.002	100.002	9.446	0.356	0.677	1785285546.224
272	100.000	-0.273	100.003	9.594	0.742	0.685	1785285546.432
273	100.000	0.028	100.000	9.856	1.124	0.682	1785285546.630
274	100.000	0.258	100.002	9.473	1.560	0.688	1785285546.898
275	100.000	0.071	100.002	9.198	2.093	0.681	1785285547.127
276	100.000	0.161	99.998	8.756	2.534	0.690	1785285547.311
277	100.000	-0.295	100.002	8.412	2.925	0.674	1785285547.505
278	100.000	0.172	100.002	8.352	3.406	0.666	1785285547.684
279	100.000	0.058	100.002	7.922	3.812	0.664	1785285547.890
280	100.000	-0.234	99.997	7.459	4.318	0.664	1785285548.078
281	100.000	-0.174	99.994	7.684	4.796	0.664	1785285548.255
282	100.000	0.071	99.999	7.898	5.192	0.664	1785285548.464
283	100.000	-0.248	100.000	8.267	5.753	0.664	1785285548.677
284	100.000	0.109	100.002	8.774	6.163	0.664	1785285548.875
285	100.000	0.197	100.001	9.203	0.229	0.685	1785285549.056
286	100.000	-0.406	100.001	9.513	0.609	0.684	1785285549.233
287	100.000	-0.138	100.001	9.771	0.957	0.681	1785285549.435
288	100.000	0.262	99.997	9.689	1.290	0.682	1785285549.617
289	100.000	0.187	99.996	9.545	1.649	0.680	1785285549.850
290	100.000	0.031	100.000	9.031	2.155	0.686	1785285550.083
291	100.000	0.257	99.999	8.554	2.636	0.686	1785285550.315
292	100.000	-0.024	100.004	8.190	3.109	0.672	1785285550.516
293	100.000	-0.123	100.001	7.834	3.579	0.664	1785285550.705
294	100.000	0.222	100.000	7.568	4.110	0.664	1785285550.953
295	100.000	-0.446	100.003	7.437	4.695	0.664	1785285551.198
296	100.000	0.191	99.996	7.806	5.229	0.664	1785285551.373
297	100.000	0.081	99.997	8.214	5.663	0.664	1785285551.554
298	100.000	0.441	99.997	8.538	5.998	0.664	1785285551.757
299	100.000	0.255	99.999	9.021	0.152	0.665	1785285551.953
300	100.000	-0.298	100.003	9.413	0.469	0.679	1785285552.122
301	100.000	-0.273	100.000	9.567	0.820	0.685	1785285552.305
302	100.000	-0.620	99.999	9.567	1.194	0.683	1785285552.501
303	100.000	0.062	99.999	9.441	1.572	0.686	1785285552.705
304	100.000	0.049	99.998	9.124	1.999	0.686	1785285552.952
305	100.000	0.213	99.999	8.651	2.469	0.691	1785285553.148
306	100.000	0.131	100.000	8.233	2.952	0.684	1785285553.390
307	100.000	0.153	100.000	7.979	3.412	0.664	1785285553.548
308	100.000	0.378	100.002	7.825	3.838	0.664	1785285553.740
309	100.000	-0.002	100.002	7.490	4.310	0.664	1785285553.925
310	100.000	0.061	99.996	7.299	4.766	0.664	1785285554.128
311	100.000	-0.085	99.996	7.994	5.252	0.664	1785285554.315
312	100.000	-0.036	100.002	8.265	5.675	0.664	1785285554.495
313	100.000	0.298	99.999	8.552	6.046	0.664	1785285554.693
314	100.000	-0.013	99.998	9.000	0.149	0.673	1785285554.890
315	100.000	-0.092	99.999	9.204	0.490	0.672	1785285555.068
316	100.000	-0.028	99.997	9.316	0.831	0.684	1785285555.262
317	100.000	0.340	99.999	9.650	1.205	0.679	1785285555.454
318	100.000	0.420	100.001	9.581	1.545	0.680	1785285555.627
319	100.000	-0.015	100.003	9.107	1.928	0.684	1785285555.817
320	100.000	0.282	100.000	8.583	2.315	0.684	1785285556.016
321	100.000	-0.080	99.998	8.206	2.787	0.685	1785285556.193
322	100.000	-0.134	100.001	8.149	3.139	0.668	1785285556.367
323	100.000	0.325	100.003	7.835	3.562	0.664	1785285556.527
324	100.000	0.437	100.000	7.520	3.968	0.664	1785285556.732
325	100.000	0.308	99.999	7.278	4.526	0.664	1785285556.964
326	100.000	0.080	99.997	7.594	5.060	0.664	1785285557.209
327	100.000	-0.526	99.994	7.825	5.585	0.664	1785285557.385
328	100.000	0.291	100.003	8.499	5.959	0.664	1785285557.559
329	100.000	0.060	100.002	8.889	0.047	0.669	1785285557.738
330	100.000	-0.106	99.999	9.081	0.377	0.685	1785285557.948
331	100.000	0.183	100.002	9.421	0.843	0.680	1785285558.205
332	100.000	-0.133	100.002	9.433	1.280	0.684	1785285558.418
333	100.000	0.231	99.999	9.103	1.663	0.683	1785285558.613
334	100.000	-0.077	100.001	8.812	2.036	0.681	1785285558.820
335	100.000	-0.087	100.002	8.109	2.479	0.693	1785285559.011
336	100.000	-0.078	100.001	7.980	2.905	0.697	1785285559.206
337	100.000	0.207	100.004	7.595	3.418	0.664	1785285559.433
338	100.000	0.144	100.001	7.650	3.966	0.664	1785285559.638
339	100.000	0.029	100.000	7.414	4.486	0.664	1785285559.875
340	100.000	-0.201	100.001	7.467	5.056	0.664	1785285560.069
341	100.000	-0.156	100.003	7.639	5.521	0.664	1785285560.256
342	100.000	-0.189	100.002	8.445	5.881	0.664	1785285560.429
343	100.000	0.038	99.996	8.762	6.222	0.664	1785285560.655
344	100.000	-0.152	100.004	9.118	0.457	0.678	1785285560.891
345	100.000	-0.029	100.002	9.430	0.807	0.681	1785285561.068
346	100.000	-0.116	100.001	9.362	1.138	0.682	1785285561.249
347	100.000	0.259	99.998	9.292	1.556	0.684	1785285561.501
348	100.000	0.138	99.996	8.940	1.971	0.687	1785285561.700
349	100.000	-0.004	100.006	8.448	2.386	0.691	1785285561.892
350	100.000	-0.061	99.998	8.082	2.833	0.684	1785285562.051
351	100.000	0.035	100.001	7.825	3.231	0.664	1785285562.254
352	100.000	-0.136	100.003	7.526	3.674	0.664	1785285562.421
353	100.000	0.052	99.998	7.288	4.110	0.664	1785285562.619
354	100.000	0.203	100.003	7.099	4.549	0.664	1785285562.786
355	100.000	-0.215	100.001	7.274	5.048	0.664	1785285562.990
356	100.000	0.259	100.003	7.941	5.512	0.664	1785285563.193
357	100.000	-0.217	99.999	8.483	5.930	0.664	1785285563.366
358	100.000	-0.266	100.000	8.824	0.005	0.664	1785285563.579
359	100.000	0.355	99.999	9.009	0.400	0.677	1785285563.818
360	100.000	0.340	99.999	9.358	0.806	0.677	1785285563.992
361	100.000	-0.223	99.994	9.371	1.192	0.681	1785285564.193
362	100.000	0.039	100.000	9.067	1.514	0.682	1785285564.370
363	100.000	0.167	100.004	8.977	1.880	0.680	1785285564.557
364	100.000	-0.121	99.998	8.568	2.272	0.698	1785285564.764
365	100.000	0.464	99.998	8.096	2.723	0.689	1785285564.962
366	100.000	-0.010	99.998	7.776	3.240	0.664	1785285565.215
367	100.000	0.258	99.999	7.584	3.794	0.664	1785285565.378
368	100.000	-0.027	100.002	7.654	4.199	0.664	1785285565.557
369	100.000	-0.318	100.005	7.241	4.650	0.664	1785285565.758
370	100.000	-0.094	99.997	7.566	5.132	0.664	1785285566.006
371	100.000	-0.058	100.003	8.026	5.657	0.664	1785285566.197
372	100.000	-0.219	99.998	8.457	6.051	0.664	1785285566.372
373	100.000	-0.024	100.001	8.957	0.136	0.664	1785285566.563
374	100.000	0.136	100.002	9.128	0.488	0.675	1785285566.766
375	100.000	-0.039	99.999	9.167	0.876	0.680	1785285566.937
376	100.000	0.092	100.004	9.153	1.180	0.685	1785285567.130
377	100.000	0.240	100.004	9.123	1.540	0.685	1785285567.293
378	100.000	0.008	100.001	8.612	1.898	0.687	1785285567.497
379	100.000	-0.069	100.000	8.370	2.355	0.690	1785285567.763
380	100.000	-0.239	100.001	7.957	2.877	0.692	1785285567.935
381	100.000	-0.300	100.004	7.631	3.331	0.664	1785285568.123
382	100.000	0.080	99.998	7.173	3.748	0.664	1785285568.299
383	100.000	-0.013	99.996	7.049	4.189	0.664	1785285568.506
384	100.000	-0.124	100.000	7.076	4.681	0.664	1785285568.690
385	100.000	0.162	99.997	7.243	5.148	0.664	1785285568.853
386	100.000	0.251	100.003	7.698	5.529	0.664	1785285569.066
387	100.000	-0.376	99.998	8.267	6.037	0.664	1785285569.318
388	100.000	-0.020	100.001	8.681	0.206	0.679	1785285569.513
389	100.000	-0.141	100.002	8.721	0.538	0.687	1785285569.706
390	100.000	-0.085	99.999	8.935	0.876	0.681	1785285569.885
391	100.000	-0.136	99.999	8.956	1.232	0.682	1785285570.072
392	100.000	0.144	100.000	8.722	1.579	0.686	1785285570.241
393	100.000	-0.032	99.999	8.336	1.955	0.693	1785285570.448
394	100.000	0.383	100.000	7.970	2.396	0.697	1785285570.628
395	100.000	-0.122	100.005	7.879	2.813	0.691	1785285570.810
396	100.000	-0.107	100.003	7.582	3.190	0.664	1785285570.988
397	100.000	-0.753	99.997	7.550	3.612	0.664	1785285571.160
398	100.000	-0.114	100.003	7.354	4.033	0.664	1785285571.357
399	100.000	-0.368	100.003	7.102	4.521	0.664	1785285571.522
400	100.000	0.118	100.000	7.456	4.965	0.664	1785285571.734
401	100.000	-0.247	100.001	7.602	5.439	0.664	1785285571.963
402	100.000	-0.206	99.997	8.255	5.970	0.664	1785285572.175
403	100.000	-0.184	100.002	8.562	0.086	0.671	1785285572.368
404	100.000	-0.027	100.002	8.642	0.424	0.684	1785285572.550
405	100.000	-0.537	100.002	9.085	0.797	0.680	1785285572.739
406	100.000	0.292	100.002	8.735	1.151	0.687	1785285572.949
407	100.000	0.217	100.001	8.846	1.525	0.685	1785285573.140
408	100.000	0.000	100.000	8.444	1.875	0.686	1785285573.305
409	100.000	-0.058	99.999	8.191	2.246	0.690	1785285573.476
410	100.000	0.001	100.002	7.932	2.643	0.687	1785285573.699
411	100.000	0.185	99.994	7.736	3.117	0.667	1785285573.873
412	100.000	0.015	99.998	7.634	3.552	0.664	1785285574.059
413	100.000	0.008	100.006	7.362	4.030	0.664	1785285574.267
414	100.000	0.122	99.998	7.061	4.538	0.664	1785285574.503
415	100.000	-0.003	100.003	7.444	5.066	0.664	1785285574.697
